Year,Month,Day,BeginHour,Vp,Dp,Bz,Kp3,
2000.00,9.00,17.00,1200.00,556.80,3.20,-0.70,4.00,
2000.00,9.00,17.00,1500.00,515.80,9.00,4.40,4.67,
2000.00,9.00,17.00,1800.00,728.40,7.10,17.40,5.33,
2000.00,9.00,17.00,2100.00,690.50,15.20,-21.60,8.33,
2000.00,9.00,18.00,0.00,857.20,10.50,1.00,7.67,
2000.00,9.00,18.00,300.00,810.00,3.10,25.70,5.67,
2000.00,9.00,18.00,600.00,776.60,1.20,17.90,5.00,
2000.00,9.00,18.00,900.00,766.00,2.80,18.40,6.00,
2000.00,9.00,18.00,1200.00,713.80,2.60,12.00,6.00,
2000.00,9.00,18.00,1500.00,731.90,5.30,7.20,6.00,
2000.00,9.00,18.00,1800.00,697.90,1.00,-0.40,3.00,
2000.00,9.00,18.00,2100.00,651.00,0.80,-0.40,3.00,
2000.00,9.00,19.00,0.00,671.10,1.40,3.30,3.00,
2000.00,9.00,19.00,300.00,704.70,1.40,3.40,3.00,
2000.00,9.00,19.00,600.00,706.20,1.80,4.00,3.00,
2000.00,9.00,19.00,900.00,684.70,4.30,3.80,5.00,
2000.00,9.00,19.00,1200.00,641.80,5.30,-3.70,6.00,
2000.00,9.00,19.00,1500.00,614.80,4.50,3.40,4.00,
2000.00,9.00,19.00,1800.00,589.10,3.90,0.60,3.00,
2000.00,9.00,19.00,2100.00,569.40,2.30,-0.70,3.67,
2000.00,9.00,20.00,0.00,551.30,2.60,2.10,3.67,
2000.00,9.00,20.00,300.00,544.80,1.20,-0.70,3.67,
2000.00,9.00,20.00,600.00,524.00,2.10,1.20,1.00,
2000.00,9.00,20.00,900.00,526.80,1.70,-0.50,2.67,
2000.00,9.00,20.00,1200.00,502.50,2.00,-0.50,3.33,
2000.00,9.00,20.00,1500.00,492.20,2.00,0.60,2.00,
2000.00,9.00,20.00,1800.00,490.20,2.00,2.20,1.67,
2000.00,9.00,20.00,2100.00,463.20,1.60,-0.60,1.67,
2000.00,9.00,21.00,0.00,461.50,1.90,-1.90,2.00,
2000.00,9.00,21.00,300.00,455.30,2.50,-1.00,2.67,
2000.00,9.00,21.00,600.00,474.40,3.40,3.70,2.00,
2000.00,9.00,21.00,900.00,459.30,3.30,0.10,3.00,
2000.00,9.00,21.00,1200.00,466.60,4.30,1.20,2.67,
